epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,1.9456167297978555,0.18306451651357836,1.95322095685535,0.1493055559694767,2024-11-29 12:15:04.348399
1,1.9095167383070915,0.2241935484832333,1.8939054873254564,0.29629629643427,2024-11-29 12:15:04.348399
2,1.869482901788527,0.2665322581606527,1.8277552591429815,0.3611111111111111,2024-11-29 12:15:04.348399
3,1.8247736769337808,0.2967741936445236,1.7808011306656732,0.36689814883801675,2024-11-29 12:15:04.348399
4,1.8016189952050485,0.28750000004806825,1.7253952225049336,0.3993055555555556,2024-11-29 12:15:04.348399
5,1.7703898683671029,0.3209677420316204,1.702609168158637,0.4097222205665376,2024-11-29 12:15:04.348399
6,1.7338666569802068,0.35725806461226556,1.6743088298373752,0.44907407297028434,2024-11-29 12:15:04.348399
7,1.718685673129174,0.3286290322580645,1.6534927884737651,0.4236111111111111,2024-11-29 12:15:04.348399
8,1.6983944331446001,0.3846774197393848,1.6386421455277338,0.44907407462596893,2024-11-29 12:15:04.348399
9,1.66962985069521,0.4177419355800075,1.5969881547821894,0.44328703648514217,2024-11-29 12:15:04.348399
10,1.664158248132275,0.39959677428968493,1.5756486389372084,0.45370370480749345,2024-11-29 12:15:04.348399
11,1.6472898452512679,0.41008064535356337,1.576463845041063,0.4189814825852712,2024-11-29 12:15:04.348399
12,1.6330427623564197,0.4407258072207051,1.5477777123451233,0.42129629767603344,2024-11-29 12:15:04.348399
13,1.5987884690684657,0.4415322580645161,1.532819045914544,0.44212963183720905,2024-11-29 12:15:04.348399
14,1.591997092769992,0.44032258083743436,1.5213406549559698,0.4282407412926356,2024-11-29 12:15:04.348399
15,1.5695915798987112,0.4806451614825956,1.5239537159601848,0.4085648155046834,2024-11-29 12:15:04.348399
16,1.5511423080198226,0.47217741945097524,1.4964159660869174,0.44328703648514217,2024-11-29 12:15:04.348399
17,1.5338236977977138,0.4737903225806452,1.4813002281718783,0.4305555572112401,2024-11-29 12:15:04.348399
18,1.532019619018801,0.46008064525742687,1.4693983727031283,0.4479166666666667,2024-11-29 12:15:04.348399
19,1.497247253694842,0.48830645122835714,1.4654287497202556,0.44328703648514217,2024-11-29 12:15:04.348399
20,1.4693654967892555,0.48588709677419356,1.4578584962420993,0.4513888888888889,2024-11-29 12:15:04.348399
21,1.4767954849427747,0.4842741936445236,1.448240213923984,0.4421296285258399,2024-11-29 12:15:04.348399
22,1.4466830145928167,0.492741935676144,1.4098291993141174,0.48842592702971566,2024-11-29 12:15:04.348399
23,1.4355442946957004,0.4899193548387097,1.4147276017400954,0.49884259204069775,2024-11-29 12:15:04.348399
24,1.4216649532318115,0.49516129109167284,1.398009717464447,0.48379629684819114,2024-11-29 12:15:04.348399
25,1.4142992804127354,0.48467741954711174,1.3859789239035711,0.4733796301815245,2024-11-29 12:15:04.348399
26,1.4179664850234985,0.49475806470840206,1.3782881365882025,0.48379629519250655,2024-11-29 12:15:04.348399
27,1.411191040469754,0.5197580649006751,1.364265435271793,0.4965277777777778,2024-11-29 12:15:04.348399
28,1.3721925058672506,0.5290322582567891,1.3499854273266263,0.5150462951925066,2024-11-29 12:15:04.348399
29,1.3469717348775556,0.5362903225806451,1.3300306763913896,0.5196759270297157,2024-11-29 12:15:04.348399
30,1.349549424263739,0.532258064516129,1.320124129454295,0.5590277777777778,2024-11-29 12:15:04.348399
31,1.3585458263274162,0.5290322582567891,1.3257956306139629,0.5231481484240956,2024-11-29 12:15:04.348399
32,1.3383973836898804,0.5653225808374344,1.3158197469181485,0.53125,2024-11-29 12:15:04.348399
33,1.3062715184304021,0.5971774189702926,1.3081924716631572,0.5405092587073644,2024-11-29 12:15:04.348399
34,1.3043807898798296,0.5237903229651912,1.291143473651674,0.5381944444444444,2024-11-29 12:15:04.348399
35,1.3006055085889754,0.5516129039948986,1.3073720302846696,0.5509259262018733,2024-11-29 12:15:04.348399
36,1.2866063963982366,0.5713709679342085,1.263971769147449,0.5625,2024-11-29 12:15:04.348399
37,1.2952985725095194,0.5794354840632407,1.2643334633774228,0.5763888872332044,2024-11-29 12:15:04.348399
38,1.2700682378584338,0.6008064516129032,1.2624957660833995,0.5543981475962533,2024-11-29 12:15:04.348399
39,1.277785151235519,0.5758064523819955,1.2367042634222243,0.5787037014961243,2024-11-29 12:15:04.348399
40,1.2659852466275614,0.5665322580645161,1.2469511429468791,0.5671296285258399,2024-11-29 12:15:04.348399
41,1.270806824007342,0.5564516129032258,1.213072697321574,0.5682870381408267,2024-11-29 12:15:04.348399
42,1.236414934358289,0.5677419362529632,1.2246716684765286,0.5659722222222222,2024-11-29 12:15:04.348399
43,1.212969599231597,0.594758064516129,1.2088966170946758,0.5798611111111112,2024-11-29 12:15:04.348399
44,1.1849630571180774,0.6052419350993249,1.196030209461848,0.5833333316776488,2024-11-29 12:15:04.348399
45,1.2251546459813272,0.5629032254219055,1.1876751979192097,0.5868055555555556,2024-11-29 12:15:04.348399
46,1.2225098840651973,0.6000000007690922,1.1892508334583707,0.5902777777777778,2024-11-29 12:15:04.348399
47,1.215354940583629,0.5846774193548387,1.1820104685094621,0.5891203698184755,2024-11-29 12:15:04.348399
48,1.1822884486567589,0.6193548383251313,1.1792440215746562,0.5671296285258399,2024-11-29 12:15:04.348399
49,1.218159196838256,0.592741935483871,1.1703574193848505,0.5821759270297157,2024-11-29 12:15:04.348399
50,1.1702533345068655,0.6161290330271567,1.1398375597265031,0.6145833333333334,2024-11-29 12:15:04.348399
51,1.153268244958693,0.6181451620594147,1.1556820174058278,0.6018518540594313,2024-11-29 12:15:04.348399
52,1.1689305170889823,0.6173387092928733,1.1490262117650774,0.6006944444444444,2024-11-29 12:15:04.348399
53,1.1765281288854537,0.6060483878658663,1.1130708588494196,0.6273148126072354,2024-11-29 12:15:04.348399
54,1.1359289653839604,0.6141129039948986,1.138420820236206,0.6111111111111112,2024-11-29 12:15:04.348399
55,1.1302531765353294,0.6189516129032258,1.1516286432743073,0.5891203714741601,2024-11-29 12:15:04.348399
56,1.1675966670436244,0.5887096774193549,1.1101976599958208,0.6203703714741601,2024-11-29 12:15:04.348399
57,1.1337173561896048,0.6298387098696924,1.0964063008626301,0.6342592570516798,2024-11-29 12:15:04.348399
58,1.1504597413924433,0.6076612905148537,1.098331030872133,0.6377314809295866,2024-11-29 12:15:04.348399
59,1.1240487444785334,0.6189516129032258,1.1017079750696819,0.603009260363049,2024-11-29 12:15:04.348399
60,1.1126755649043667,0.6254032254219055,1.0686566233634949,0.6504629651705424,2024-11-29 12:15:04.348399
61,1.0886019872080894,0.6322580652852212,1.0919298695193396,0.6099537031518089,2024-11-29 12:15:04.348399
62,1.1193993014674033,0.6100806459303825,1.091886083285014,0.6145833333333334,2024-11-29 12:15:04.348399
63,1.1182293122814548,0.6169354838709677,1.0947980185349782,0.6527777761220932,2024-11-29 12:15:04.348399
