epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,1.9676316592001146,0.14435483875774568,1.9577230678664312,0.17245370439357227,2024-11-30 14:21:05.282275
1,1.9569496647004159,0.14516129032258066,1.9515266484684415,0.15625000041392115,2024-11-30 14:21:05.282275
2,1.9470208691012474,0.15766129041871718,1.9402213493982952,0.17708333333333334,2024-11-30 14:21:05.282275
3,1.9377580842664164,0.18467741940290697,1.9327704774008856,0.16898148175742891,2024-11-30 14:21:05.282275
4,1.9271553331805813,0.2008064516609715,1.9228911134931777,0.1875000008278423,2024-11-30 14:21:05.282275
5,1.9177157032874323,0.2241935484832333,1.910760674211714,0.24189814883801672,2024-11-30 14:21:05.282275
6,1.906006774594707,0.2512096774674231,1.8980214926931593,0.26851851907041335,2024-11-30 14:21:05.282275
7,1.8941153480160622,0.2697580649006751,1.88272711303499,0.3171296285258399,2024-11-30 14:21:05.282275
8,1.879994096294526,0.32741935503098274,1.8672881258858576,0.34375,2024-11-30 14:21:05.282275
9,1.8658256876853205,0.33991935488677794,1.8524311648474798,0.3344907404647933,2024-11-30 14:21:05.282275
10,1.850944730543321,0.36088709677419356,1.8391425940725539,0.3611111111111111,2024-11-30 14:21:05.282275
11,1.83824170789411,0.3758064518051763,1.8236307104428608,0.38657407297028434,2024-11-30 14:21:05.282275
12,1.8210839686855194,0.3919354840632408,1.8164233167966206,0.37268518408139545,2024-11-30 14:21:05.282275
13,1.8196001206674883,0.4153225806451613,1.8067831264601812,0.3530092587073644,2024-11-30 14:21:05.282275
14,1.8062738603161228,0.4048387100619654,1.7985913356145222,0.34375,2024-11-30 14:21:05.282275
15,1.7956940743231005,0.41088709715873967,1.791429830922021,0.37615740795930225,2024-11-30 14:21:05.282275
16,1.7876607833370086,0.43306451651357836,1.786632200082143,0.36689814883801675,2024-11-30 14:21:05.282275
17,1.78210646875443,0.4274193548387097,1.7725773321257696,0.37384259204069775,2024-11-30 14:21:05.282275
18,1.7755971570168771,0.4205645161771005,1.7695279386308458,0.3668981475962533,2024-11-30 14:21:05.282275
19,1.7700244034490278,0.44274193625296315,1.7646740674972534,0.37731481426291996,2024-11-30 14:21:05.282275
20,1.7646037378618795,0.4439516129993623,1.758793334166209,0.37615740795930225,2024-11-30 14:21:05.282275
21,1.7532955908006238,0.4439516129993623,1.7481143143441942,0.40856481426291996,2024-11-30 14:21:05.282275
22,1.7444191094367736,0.4584677421277569,1.741724881860945,0.4143518524037467,2024-11-30 14:21:05.282275
23,1.7375391683270853,0.4544354840632408,1.7374658915731642,0.4374999983443154,2024-11-30 14:21:05.282275
24,1.741341648563262,0.46129032296519124,1.7288532455762227,0.42129629519250655,2024-11-30 14:21:05.282275
25,1.7338629153466993,0.45645161309549886,1.726208594110277,0.4421296301815245,2024-11-30 14:21:05.282275
26,1.7183235114620579,0.46491935560780184,1.7200333144929674,0.4444444427887599,2024-11-30 14:21:05.282275
27,1.7084097093151462,0.4512096778039009,1.7131930788358052,0.4722222238779068,2024-11-30 14:21:05.282275
28,1.7113415964188115,0.4596774193548387,1.7132483389642503,0.4444444427887599,2024-11-30 14:21:05.282275
29,1.704473437801484,0.4766129034180795,1.7032519777615864,0.4641203698184755,2024-11-30 14:21:05.282275
30,1.6932903989668815,0.4633064519974493,1.6904697087075975,0.48379629519250655,2024-11-30 14:21:05.282275
31,1.707459322867855,0.4633064519974493,1.6975759598943923,0.4861111111111111,2024-11-30 14:21:05.282275
32,1.6767020802344046,0.4939516129032258,1.6815402838918898,0.49189814842409557,2024-11-30 14:21:05.282275
33,1.6743684314912366,0.5,1.673573460843828,0.4861111111111111,2024-11-30 14:21:05.282275
34,1.6824122513494184,0.48830645122835714,1.6758081052038405,0.4826388888888889,2024-11-30 14:21:05.282275
35,1.6709087933263471,0.4802419350993249,1.6597231560283237,0.5081018507480621,2024-11-30 14:21:05.282275
36,1.6442308041357225,0.5068548389019505,1.6608647372987535,0.4791666666666667,2024-11-30 14:21:05.282275
37,1.670719842756948,0.4838709677419355,1.6557151542769537,0.4918981475962533,2024-11-30 14:21:05.282275
38,1.6556904700494581,0.4870967749626406,1.6500683956676059,0.48842592702971566,2024-11-30 14:21:05.282275
39,1.6433101546379827,0.5112903233497373,1.6449088785383437,0.48379629684819114,2024-11-30 14:21:05.282275
40,1.6307561897462415,0.5233870975432857,1.6432831949657865,0.5069444427887598,2024-11-30 14:21:05.282275
41,1.6262969970703125,0.5169354831018755,1.6321767701043024,0.48495370315180886,2024-11-30 14:21:05.282275
42,1.6263075182514806,0.49556451651357836,1.621108935938941,0.5023148126072354,2024-11-30 14:21:05.282275
43,1.632816706934283,0.5189516130954989,1.6248266167110867,0.4930555572112401,2024-11-30 14:21:05.282275
44,1.6070307454755228,0.5241935483870968,1.6161413192749023,0.48379629519250655,2024-11-30 14:21:05.282275
45,1.6159599096544328,0.5068548389019505,1.605022324456109,0.5115740729702843,2024-11-30 14:21:05.282275
46,1.5983251256327475,0.531451613672318,1.5970111820432875,0.5243055555555556,2024-11-30 14:21:05.282275
47,1.5792262208077215,0.5391129034180795,1.5948622359169855,0.5173611111111112,2024-11-30 14:21:05.282275
48,1.5933601240957938,0.5189516130954989,1.578213996357388,0.5069444427887598,2024-11-30 14:21:05.282275
49,1.5912121803529802,0.4939516129032258,1.597673601574368,0.4965277777777778,2024-11-30 14:21:05.282275
50,1.5756163327924666,0.5326612899380345,1.5734379026624892,0.5127314809295866,2024-11-30 14:21:05.282275
